CODIGO_DA_IES;NOME_DA_IES;SIGLA;CATEGORIA_DA_IES;COMUNITARIA;CONFESSIONAL;FILANTROPICA;ORGANIZACAO_ACADEMICA;CODIGO_MUNICIPIO_IBGE;MUNICIPIO;UF;SITUACAO_IES
21995;Faculdade de Tecnologia Senac Curitiba;;Privada;N;N;N;Faculdade;4106902.0;Curitiba;PR;Ativa
5701;UNIVERSIDADE DO ESTADO DO AMAPÁ - UEAP;UEAP;Pública;N;N;N;Universidade;1600303.0;Macapá;AP;Ativa
1768;FACULDADE REGIONAL SERRANA - FUNPAC;FUNPAC;Privada;N;N;N;Faculdade;3205069.0;Venda Nova do Imigrante;ES;Extinta
23261;Faculdade São Judas de São Bernardo do Campo;;Privada;N;N;N;Faculdade;3548708.0;São Bernardo do Campo;SP;Ativa
4250;FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA) - FACE ALFOR JF;FACE ALFOR JF;Privada;N;N;N;Faculdade;3136702.0;Juiz de Fora;MG;Extinta
626;CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO - UNICNEC;UNICNEC;Privada;S;N;N;Centro Universitário;4313508.0;Osório;RS;Ativa
2428;FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS - FACICA;FACICA;Privada;N;N;N;Faculdade;3111606.0;Campos Gerais;MG;Ativa
1419;CENTRO UNIVERSITÁRIO CURITIBA - UNICURITIBA;UNICURITIBA;Privada;N;N;N;Centro Universitário;4106902.0;Curitiba;PR;Ativa
275;UNIVERSIDADE DO VALE DO PARAÍBA - UNIVAP;UNIVAP;Privada;S;N;N;Universidade;3549904.0;São José dos Campos;SP;Ativa
14123;Faculdade Presidente Antônio Carlos de Bom Sucesso - FUNEES Bom Sucesso;FUNEES Bom Sucesso;Privada;N;N;N;Faculdade;3108008.0;Bom Sucesso;MG;Extinta
22760;Faculdade Fleming Cerquilho - Fac Cerquilho;Fac Cerquilho;Privada;N;N;N;Faculdade;3511508.0;Cerquilho;SP;Ativa
3188;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS - IFNMG;IFNMG;Pública;N;N;N;Instituto Federal de Educação, Ciência e Tecnologia;3143302.0;Montes Claros;MG;Ativa
17952;Faculdade de Tecnologia de Jacareí - FATEC Jacareí;FATEC Jacareí;Pública;N;N;N;Faculdade;3524402.0;Jacareí;SP;Ativa
2402;Centro Universitário UNIFTC;;Privada;N;N;N;Centro Universitário;2927408.0;Salvador;BA;Ativa
660;FACULDADE METODISTA DO SUL PAULISTA - FMSP;FMSP;Privada;N;N;N;Faculdade;3522406.0;Itapeva;SP;Extinta
1244;Centro Universitário Multivix Vitória;;Privada;N;N;N;Centro Universitário;3205309.0;Vitória;ES;Ativa
1494;Centro Universitário Salesiano - UniSales;UniSales;Privada;N;N;N;Centro Universitário;3205309.0;Vitória;ES;Ativa
1253;FACULDADE METODISTA GRANBERY - FMG;FMG;Privada;S;N;N;Faculdade;3136702.0;Juiz de Fora;MG;Ativa
15526;FACULDADE UNIRB CEARÁ - F.CEARÁ;F.CEARÁ;Privada;N;N;N;Faculdade;2304400.0;Fortaleza;CE;Ativa
3757;FACULDADE SERRA DA MESA - FASEM;FASEM;Privada;N;N;N;Faculdade;5221601.0;Uruaçu;GO;Ativa
3363;FACULDADE GUARAÍ - FAG;FAG;Privada;N;N;N;Faculdade;1709302.0;Guaraí;TO;Ativa
338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS - PUC MINAS;PUC MINAS;Privada;S;S;N;Universidade;3106200.0;Belo Horizonte;MG;Ativa
21982;Faculdade Integrada CETE - FIC;FIC;Privada;N;N;N;Faculdade;2606002.0;Garanhuns;PE;Ativa
22113;Faculdade Pitagoras Anhanguera de Santa Cruz do Sul;;Privada;N;N;N;Faculdade;4316808.0;Santa Cruz do Sul;RS;Extinta
5053;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ PARACAMBI;FAETERJ PARACAMBI;Pública;N;N;N;Faculdade;3303609.0;Paracambi;RJ;Ativa
1279;FACULDADE DE ITÁPOLIS - FACITA - FACITA;FACITA;Privada;N;N;N;Faculdade;3522703.0;Itápolis;SP;Ativa
22313;FACULDADE NOVE DE JULHO DE BAURU - NOVE-BAURU;NOVE-BAURU;Privada;N;N;N;Faculdade;3506003.0;Bauru;SP;Ativa
1624;FACULDADE MARECHAL RONDON - FMR;FMR;Privada;N;N;N;Faculdade;3550100.0;São Manuel;SP;Ativa
25613;ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS - APM;APM;Pública;N;N;N;Faculdade;3106200.0;Belo Horizonte;MG;Ativa
1502;FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;;Privada;N;N;N;Faculdade;3525904.0;Jundiaí;SP;Ativa
14724;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ - IFPR;IFPR;Pública;N;N;N;Instituto Federal de Educação, Ciência e Tecnologia;4106902.0;Curitiba;PR;Ativa
728;FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO - FACIC;FACIC;Privada;N;N;N;Faculdade;3120904.0;Curvelo;MG;Ativa
25001;INSTITUTO GOIANO DE DIREITO - IGD;IGD;Privada;N;N;N;Faculdade;5208707.0;Goiânia;GO;Ativa
12547;FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL - FACITEN;FACITEN;Privada;N;N;N;Faculdade;2408102.0;Natal;RN;Ativa
13484;FACULDADE EUROPÉIA DE VITÓRIA - FAEV;FAEV;Privada;N;N;N;Faculdade;3201308.0;Cariacica;ES;Ativa
3306;FACULDADE DE TECNOLOGIA IPUC - FATIPUC;FATIPUC;Privada;N;N;N;Faculdade;4304606.0;Canoas;RS;Ativa
24996;Faculdade Life Unic Education - LI;LI;Privada;N;N;N;Faculdade;4209102.0;Joinville;SC;Ativa
21953;Instituto União das Faculdades Americanas - IUFA;IUFA;Privada;N;N;N;Faculdade;5208004.0;Formosa;GO;Extinta
18099;Faculdade de Tecnologia de Diadema Luigi Papaiz - FATEC DIADEMA;FATEC DIADEMA;Pública;N;N;N;Faculdade;3513801.0;Diadema;SP;Ativa
190;ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES - EMSM;EMSM;Privada;N;N;N;Faculdade;3304557.0;Rio de Janeiro;RJ;Ativa
14622;FACULDADE UNIFTB;;Privada;N;N;N;Faculdade;2807402.0;Tobias Barreto;SE;Ativa
22702;FACULDADE PITÁGORAS UNOPAR DE CHAPECÓ;;Privada;N;N;N;Faculdade;4204202.0;Chapecó;SC;Ativa
18735;FACULDADE ONE LEARNING;;Privada;N;N;N;Faculdade;2803500.0;Lagarto;SE;Ativa
18667;FACULDADE SANTO ANTÔNIO - FSA;FSA;Privada;N;N;N;Faculdade;3508504.0;Caçapava;SP;Ativa
668;CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS - CIESA;CIESA;Privada;N;N;N;Centro Universitário;1302603.0;Manaus;AM;Ativa
19850;FACULDADE MAURÍCIO DE NASSAU DE NITERÓI - FMN NITERÓI;FMN NITERÓI;Privada;N;N;N;Faculdade;3303302.0;Niterói;RJ;Extinta
2044;INSTITUTO SUPERIOR DE EDUCAÇÃO VALE DO SALGADO - IVS;IVS;Privada;N;N;N;Faculdade;2305407.0;Icó;CE;Extinta
1835;Faculdade de Colinas do Tocantins;;Privada;N;N;N;Faculdade;1705508.0;Colinas do Tocantins;TO;Ativa
1356;CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL - UNIFUNEC;UNIFUNEC;Pública;N;N;N;Centro Universitário;3546603.0;Santa Fé do Sul;SP;Ativa
18736;Escola Superior de Tecnologia & Gestão de Santa Catarina - EST&G;EST&G;Privada;N;N;N;Faculdade;4205407.0;Florianópolis;SC;Ativa
1096;FACULDADE DE PRESIDENTE EPITÁCIO - FAPE - FAPE;FAPE;Privada;N;N;N;Faculdade;3541307.0;Presidente Epitácio;SP;Ativa
166;FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO;;Privada;N;N;N;Faculdade;3159605.0;Santa Rita do Sapucaí;MG;Ativa
1257;FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS - FACEL;FACEL;Privada;N;N;N;Faculdade;4106902.0;Curitiba;PR;Extinta
22627;Faculdade Abrange ABC - FABRANGE;FABRANGE;Privada;N;N;N;Faculdade;3548708.0;São Bernardo do Campo;SP;Ativa
1336;CENTRO UNIVERSITÁRIO ASSIS GURGACZ - FAG;FAG;Privada;N;N;N;Centro Universitário;4104808.0;Cascavel;PR;Ativa
23890;FACULDADES INTEGRADAS DE SAÚDE E EDUCAÇÃO DO BRASIL - FISEB;FISEB;Privada;N;N;N;Faculdade;5103403.0;Cuiabá;MT;Ativa
22566;Faculdade Metropolitana de Itacoatiara - FAMETRO;FAMETRO;Privada;N;N;N;Faculdade;1301902.0;Itacoatiara;AM;Ativa
726;FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE JACAREZINHO - FAFIJA;FAFIJA;Pública;N;N;N;Faculdade;4111803.0;Jacarezinho;PR;Extinta
18158;FACULDADE MADALENA SOFIA - FMS;FMS;Privada;N;N;N;Faculdade;4106902.0;Curitiba;PR;Ativa
1525;FACULDADE DE CIÊNCIAS CONTÁBEIS DE AFONSO CLÁUDIO - ISEAC;ISEAC;Privada;N;N;N;Faculdade;3200102.0;Afonso Cláudio;ES;Extinta
152;FACULDADE DE CIÊNCIAS CONTÁBEIS - FACIC;FACIC;Privada;N;N;N;Faculdade;2927408.0;Salvador;BA;Ativa
2232;FACULDADE DE ADMINISTRAÇÃO E MARKETING DE BRASÍLIA - FAMA;FAMA;Privada;N;N;N;Faculdade;5300108.0;Brasília;DF;Extinta
627;FACULDADE CNEC VARGINHA;;Privada;S;N;N;Faculdade;3170701.0;Varginha;MG;Ativa
13300;FACULDADE ADJETIVO CETEP - ADJETIVO-CETEP;ADJETIVO-CETEP;Privada;N;N;N;Faculdade;3140001.0;Mariana;MG;Ativa
2454;FACULDADE MAFRENSE DE TURISMO E CIÊNCIAS HUMANAS DE TERESINA - FAMA;FAMA;Privada;N;N;N;Faculdade;2211001.0;Teresina;PI;Extinta
2133;Faculdade de Ciências, Educação e Teologia do Norte do Brasil - FACETEN;FACETEN;Privada;N;N;N;Faculdade;1400100.0;Boa Vista;RR;Ativa
18956;Faculdade de Ciências e Tecnologia de Janaúba - FACITEC;FACITEC;Privada;N;N;N;Faculdade;3135100.0;Janaúba;MG;Ativa
622;FACULDADES INTEGRADAS SILVA E SOUZA - FAU;FAU;Privada;N;N;N;Faculdade;3304557.0;Rio de Janeiro;RJ;Ativa
4652;FACULDADE ANHANGÜERA DE SÃO JOSÉ;;Privada;N;N;N;Faculdade;3549904.0;São José dos Campos;SP;Ativa
5403;CENTRO UNIVERSITÁRIO OPET - Uniopet;Uniopet;Privada;N;N;N;Centro Universitário;4106902.0;Curitiba;PR;Ativa
2500;FACULDADE EINSTEIN;;Privada;N;N;N;Faculdade;2927408.0;Salvador;BA;Ativa
1885;CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO - UNDB;UNDB;Privada;N;N;N;Centro Universitário;2111300.0;São Luís;MA;Ativa
23877;INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação - INSIDE;INSIDE;Privada;N;N;N;Faculdade;5300108.0;Brasília;DF;Ativa
916;FACULDADE ESTÁCIO DE TERESINA - ESTÁCIO TERESINA;ESTÁCIO TERESINA;Privada;N;N;N;Faculdade;2211001.0;Teresina;PI;Ativa
2944;FACULDADE ANHANGUERA DE ITABUNA;;Privada;N;N;N;Faculdade;2914802.0;Itabuna;BA;Ativa
2117;Faculdade Multiversa de Palotina - Multiversa;Multiversa;Privada;N;N;N;Faculdade;4117909.0;Palotina;PR;Ativa
18734;Faculdade de Martinópolis - FAMA;FAMA;Privada;N;N;N;Faculdade;3529203.0;Martinópolis;SP;Ativa
20328;FACULDADE DE ODONTOLOGIA DA APCD - FAOA;FAOA;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA - FISO;FISO;Privada;N;N;N;Faculdade;3505500.0;Barretos;SP;Ativa
19838;Faculdade Lusitana de Pernambuco - FALUP;FALUP;Privada;N;N;N;Faculdade;2604007.0;Carpina;PE;Ativa
23177;Faculdade de Educação Superior de Catalão;;Privada;N;N;N;Faculdade;5205109.0;Catalão;GO;Ativa
4070;ESCOLA AGROTÉCNICA FEDERAL DE SALINAS - EAFSALINAS;EAFSALINAS;Pública;N;N;N;Faculdade;3157005.0;Salinas;MG;Extinta
21687;FACULDADE ANHANGUERA ITABIRA;;Privada;N;N;N;Faculdade;3131703.0;Itabira;MG;Ativa
34;FACULDADE DE TECNOLOGIA DE SÃO PAULO - FATEC-SP;FATEC-SP;Pública;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
22425;FACULDADE ESAMC FRANCA - ESAMC FRANCA;ESAMC FRANCA;Privada;N;N;N;Faculdade;3516200.0;Franca;SP;Ativa
5671;CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA;;Privada;N;N;N;Centro Universitário;3302205.0;Itaperuna;RJ;Ativa
4024;FACULDADE DE TECNOLOGIA DE MOCOCA - FATEC;FATEC;Pública;N;N;N;Faculdade;3530508.0;Mococa;SP;Ativa
15451;Faculdade de Direito de Ipatinga - FADIPA;FADIPA;Privada;N;N;N;Faculdade;3131307.0;Ipatinga;MG;Ativa
25476;Instituto do Sul de Santa Catarina;;Privada;N;N;N;Faculdade;4204608.0;Criciúma;SC;Ativa
403;UNIVERSIDADE CATÓLICA DE BRASÍLIA - UCB;UCB;Privada;S;S;N;Universidade;5300108.0;Brasília;DF;Ativa
2620;FACULDADE DE AMPÉRE - FAMPER;FAMPER;Privada;N;N;N;Faculdade;4101002.0;Ampére;PR;Ativa
2148;FACULDADE DE PALMAS - FAPAL;FAPAL;Privada;N;N;N;Faculdade;1721000.0;Palmas;TO;Ativa
23089;FACULDADE DE NOVA MUTUM;;Privada;N;N;N;Faculdade;5106224.0;Nova Mutum;MT;Ativa
13735;FACULDADE DE TECNOLOGIA, CAPACITAÇÃO E GESTÃO INTEGRAL - FAINTEC;FAINTEC;Privada;N;N;N;Faculdade;4106902.0;Curitiba;PR;Extinta
25656;INSTITUTO PLENITUDE EDUCAÇÃO - IPLENI;IPLENI;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
21200;Faculdade ISMD - ISMD;ISMD;Privada;N;N;N;Faculdade;3106200.0;Belo Horizonte;MG;Ativa
2346;INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER - IFIBE;IFIBE;Privada;N;N;N;Faculdade;4314100.0;Passo Fundo;RS;Ativa
12625;ESCOLA SUPERIOR DE AVIAÇÃO CIVIL - ESAC;ESAC;Privada;N;N;N;Faculdade;2504009.0;Campina Grande;PB;Ativa
23012;Faculdade Liber de Porangatu - FacLiber;FacLiber;Privada;N;N;N;Faculdade;5218003.0;Porangatu;GO;Ativa
21788;Instituto de Desenvolvimento Educacional - IDE;IDE;Privada;N;N;N;Faculdade;2611606.0;Recife;PE;Ativa
14127;Faculdade Presidente Antônio Carlos de Campo Belo - FUNEES Campo Belo;FUNEES Campo Belo;Privada;N;N;N;Faculdade;3111200.0;Campo Belo;MG;Extinta
14243;Faculdade Presidente Antônio Carlos de Itabirito;;Privada;N;N;N;Faculdade;3131901.0;Itabirito;MG;Ativa
1440;INSTITUTO APHONSIANO DE ENSINO SUPERIOR - IAESUP;IAESUP;Privada;N;N;N;Faculdade;5221403.0;Trindade;GO;Ativa
25387;Faculdade Guerra - FAG;FAG;Privada;N;N;N;Faculdade;5300108.0;Brasília;DF;Ativa
1753;FACULDADE DE ENFERMAGEM NOVA ESPERANÇA - FACENE;FACENE;Privada;N;N;N;Faculdade;2507507.0;João Pessoa;PB;Ativa
1263;FACULDADE BEZERRA DE ARAÚJO - FABA;FABA;Privada;N;N;N;Faculdade;3304557.0;Rio de Janeiro;RJ;Ativa
935;FACULDADE PAULISTA;;Privada;N;N;N;Faculdade;3548708.0;São Bernardo do Campo;SP;Extinta
4096;Faculdade de Tecnologia FTEC de Porto Alegre - FTEC Porto Alegre;FTEC Porto Alegre;Privada;N;N;N;Faculdade;4314902.0;Porto Alegre;RS;Ativa
3770;FACULDADE TEOLÓGICA BATISTA DE SÃO PAULO - FTBSP;FTBSP;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
271;UNIVERSIDADE DO OESTE PAULISTA - UNOESTE;UNOESTE;Privada;N;N;N;Universidade;3541406.0;Presidente Prudente;SP;Ativa
4832;FACULDADE POLITÉCNICA DE TAUBATÉ;;Privada;N;N;N;Faculdade;3554102.0;Taubaté;SP;Extinta
900;FACULDADE UNIRIO;;Privada;N;N;N;Faculdade;1100205.0;Porto Velho;RO;Ativa
1030;Centro Universitário IBMEC - IBMEC;IBMEC;Privada;N;N;N;Centro Universitário;3304557.0;Rio de Janeiro;RJ;Ativa
757;Centro Universitário da Amazônia - Unama;Unama;Privada;N;N;N;Centro Universitário;1506807.0;Santarém;PA;Ativa
1785;FACULDADE DE COLIDER - FACIDER;FACIDER;Privada;N;N;N;Faculdade;5103205.0;Colíder;MT;Ativa
466;UNIVERSIDADE ANHEMBI MORUMBI - UAM;UAM;Privada;N;N;N;Universidade;3550308.0;São Paulo;SP;Ativa
15709;Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar - Fatec Osasco;Fatec Osasco;Pública;N;N;N;Faculdade;3534401.0;Osasco;SP;Ativa
22176;Faculdade ENAU - FacEnau;FacEnau;Privada;N;N;N;Faculdade;3543303.0;Ribeirão Pires;SP;Ativa
631;FACULDADE CNEC FARROUPILHA;;Privada;S;N;N;Faculdade;4307906.0;Farroupilha;RS;Ativa
13106;Faculdade Multiversa de Tecnologia;;Privada;N;N;N;Faculdade;2304400.0;Fortaleza;CE;Ativa
17887;Faculdade de Ciências Médicas de São José dos Campos;;Privada;N;N;N;Faculdade;3549904.0;São José dos Campos;SP;Ativa
1070;FACULDADE CNEC UNAÍ;;Privada;S;N;N;Faculdade;3170404.0;Unaí;MG;Ativa
26909;Escola Saúde Pública - ESPMT - ESPMT;ESPMT;Privada;N;N;N;Escola de Governo;5103403.0;Cuiabá;MT;Ativa
12421;FACULDADES COC DE SÃO PAULO - FACOCSP;FACOCSP;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Extinta
1479;FACULDADES INTEGRADAS TIBIRIÇÁ - FATI;FATI;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Extinta
270;FACULDADE DE TUPÃ;;Privada;N;N;N;Faculdade;3555000.0;Tupã;SP;Ativa
21444;Faculdade Ágape de São Félix;;Privada;N;N;N;Faculdade;1507300.0;São Félix do Xingu;PA;Ativa
2613;Centro Universitário Estácio Meta de Rio Branco Estácio - UNIMETA;UNIMETA;Privada;N;N;N;Centro Universitário;1200401.0;Rio Branco;AC;Ativa
1589;FACULDADE DE CASCAVEL - FADEC;FADEC;Privada;N;N;N;Faculdade;4104808.0;Cascavel;PR;Extinta
2566;INSTITUTO DE ENSINO SUPERIOR DE OLINDA - IESO;IESO;Privada;N;N;N;Faculdade;2609600.0;Olinda;PE;Ativa
1587;FACULDADE ANHANGUERA DE TANGARÁ DA SERRA - FITS;FITS;Privada;N;N;N;Faculdade;5107958.0;Tangará da Serra;MT;Ativa
20481;Faculdade de Bragança - FABRA;FABRA;Privada;N;N;N;Faculdade;1501709.0;Bragança;PA;Ativa
781;FACULDADE ANHANGUERA DE RONDONÓPOLIS - FAR;FAR;Privada;N;N;N;Faculdade;5107602.0;Rondonópolis;MT;Ativa
1766;FACULDADE ESPÍRITO SANTENSE - UNICAPE;UNICAPE;Privada;N;N;N;Faculdade;3201308.0;Cariacica;ES;Ativa
2014;FACULDADE SETELAGOANA DE CIÊNCIAS GERENCIAIS - FASCIG;FASCIG;Privada;N;N;N;Faculdade;3167202.0;Sete Lagoas;MG;Extinta
22625;FACULDADE BOOKPLAY;;Privada;N;N;N;Faculdade;3557105.0;Votuporanga;SP;Ativa
20548;FACULDADE UNINTA TIANGUA;;Privada;N;N;N;Faculdade;2313401.0;Tianguá;CE;Ativa
4868;FACULDADE HSM;;Privada;N;N;N;Faculdade;3547502.0;Santa Rita do Passa Quatro;SP;Extinta
1701;FACULDADE MACHADO DE ASSIS - FAMA;FAMA;Privada;N;N;N;Faculdade;3304557.0;Rio de Janeiro;RJ;Ativa
15001;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA - UNILA;UNILA;Pública;N;N;N;Universidade;4108304.0;Foz do Iguaçu;PR;Ativa
3191;INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTA CATARINA - ISESC;ISESC;Privada;N;N;N;Instituto Superior ou Escola Superior;4209102.0;Joinville;SC;Extinta
13811;TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS;;Privada;N;N;N;Faculdade;3304557.0;Rio de Janeiro;RJ;Ativa
1790;FACULDADE DO SUL DA BAHIA - FASB;FASB;Privada;N;N;N;Faculdade;2931350.0;Teixeira de Freitas;BA;Ativa
25474;Faculdade Microlins - FAMIC;FAMIC;Privada;N;N;N;Faculdade;3511102.0;Catanduva;SP;Ativa
1545;FACULDADE DE BOITUVA - FIB;FIB;Privada;N;N;N;Faculdade;3507001.0;Boituva;SP;Ativa
17394;FACULDADE 05 DE JULHO - F5;F5;Privada;N;S;N;Faculdade;2312908.0;Sobral;CE;Ativa
19739;Faculdade de Tecnologia de Campinas - FATEC CAMPINAS;FATEC CAMPINAS;Pública;N;N;N;Faculdade;3509502.0;Campinas;SP;Ativa
21275;Faculdade Anhanguera de Erechim;;Privada;N;N;N;Faculdade;4307005.0;Erechim;RS;Extinta
19312;FACULDADE MARANATHA - FAMAH;FAMAH;Privada;N;N;N;Faculdade;2211001.0;Teresina;PI;Ativa
364;FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA - FACE;FACE;Privada;N;N;N;Faculdade;3152105.0;Ponte Nova;MG;Extinta
2896;Centro Universitário SATC - UniSATC;UniSATC;Privada;N;N;N;Centro Universitário;4204608.0;Criciúma;SC;Ativa
22599;FACULDADE CECAPE;;Privada;N;N;N;Faculdade;2307304.0;Juazeiro do Norte;CE;Ativa
3397;FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS - FBNCTSB;FBNCTSB;Privada;N;N;N;Faculdade;1302603.0;Manaus;AM;Ativa
21654;Faculdade de Engenharia e Agrimensura de São Paulo - FEASP;FEASP;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
1818;FACULDADE ANHANGUERA DE BELO HORIZONTE;;Privada;N;N;N;Faculdade;3106200.0;Belo Horizonte;MG;Ativa
2270;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA - FAEX;FAEX;Privada;N;N;N;Faculdade;3125101.0;Extrema;MG;Ativa
1605;FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA - FANOVA;FANOVA;Privada;N;N;N;Faculdade;5006200.0;Nova Andradina;MS;Ativa
21693;Faculdade Anhanguera Franca - FAF;FAF;Privada;N;N;N;Faculdade;3516200.0;Franca;SP;Ativa
17875;Faculdade Católica de Belém - FACBEL;FACBEL;Privada;N;N;N;Faculdade;1500800.0;Ananindeua;PA;Ativa
17288;Faculdade Teológica Betânia - FATEBE;FATEBE;Privada;N;S;N;Faculdade;4106902.0;Curitiba;PR;Ativa
374;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS - FMU;FMU;Privada;N;N;N;Centro Universitário;3550308.0;São Paulo;SP;Ativa
5419;FACULDADE EVANGÉLICA DE TAGUATINGA - FE TAGUATINGA;FE TAGUATINGA;Privada;N;N;N;Faculdade;5300108.0;Brasília;DF;Extinta
1038;FACULDADES INTEGRADAS DE TRÊS LAGOAS - AEMS;AEMS;Privada;N;N;N;Faculdade;5008305.0;Três Lagoas;MS;Ativa
78;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE - FAFIA;FAFIA;Pública;N;N;N;Faculdade;3200201.0;Alegre;ES;Ativa
20321;FACULDADE IMPACTO;;Privada;N;N;N;Faculdade;2704302.0;Maceió;AL;Ativa
1156;Faculdade CNEC Alberto Torres;;Privada;S;N;N;Faculdade;3301900.0;Itaboraí;RJ;Ativa
1046;UNIÃO DAS FACULDADES DOS GRANDES LAGOS - UNILAGO;UNILAGO;Privada;N;N;N;Faculdade;3549805.0;São José do Rio Preto;SP;Ativa
801;FACULDADE MONTENEGRO - FAM;FAM;Privada;N;N;N;Faculdade;2912103.0;Ibicaraí;BA;Extinta
339;FACUDADE UNINEVES;;Privada;N;N;N;Faculdade;2507507.0;João Pessoa;PB;Ativa
14429;FACULDADE ANHANGUERA DE MACEIÓ;;Privada;N;N;N;Faculdade;2704302.0;Maceió;AL;Ativa
4010;CENTRO UNIVERSITÁRIO METODISTA - IPA;IPA;Privada;S;S;N;Centro Universitário;4314902.0;Porto Alegre;RS;Ativa
4899;FACULDADE DE CIÊNCIAS MÉDICAS DA BAHIA - CIENCIAS MEDICAS;CIENCIAS MEDICAS;Privada;N;N;N;Faculdade;2927705.0;Santa Cruz Cabrália;BA;Extinta
14211;Faculdade Presidente Antônio Carlos de Nazareno - FUNEES;FUNEES;Privada;N;N;N;Faculdade;3144508.0;Nazareno;MG;Extinta
14785;FACULDADE DE TECNOLOGIA SENAI MARINGÁ;;Privada;N;N;N;Faculdade;4115200.0;Maringá;PR;Extinta
3146;FACULDADE DE ODONTOLOGIA DO RECIFE - FOR;FOR;Privada;N;N;N;Faculdade;2611606.0;Recife;PE;Ativa
762;FACULDADES INTEGRADAS DE FÁTIMA DO SUL - FIFASUL;FIFASUL;Privada;N;N;N;Faculdade;5003801.0;Fátima do Sul;MS;Extinta
19913;Faculdade Estácio de Jataí Estácio Jataí - Estácio Jataí;Estácio Jataí;Privada;N;N;N;Faculdade;5211909.0;Jataí;GO;Extinta
2113;FACULDADE DOM BOSCO DE PORTO ALEGRE - FDB;FDB;Privada;S;N;N;Faculdade;4314902.0;Porto Alegre;RS;Ativa
13;UNIVERSIDADE DE CAXIAS DO SUL - UCS;UCS;Privada;S;N;N;Universidade;4305108.0;Caxias do Sul;RS;Ativa
789;UNIVERSIDADE FEDERAL DE RORAIMA - UFRR;UFRR;Pública;N;N;N;Universidade;1400100.0;Boa Vista;RR;Ativa
11752;FACULDADE SUDOESTE PAULISTA - TATUÍ - FSP - TATUÍ - FSP;TATUÍ - FSP;Privada;N;N;N;Faculdade;3554003.0;Tatuí;SP;Extinta
19214;Faculdade Norte e Nordeste do Brasil - FANOR - BRASIL;FANOR - BRASIL;Privada;N;N;N;Faculdade;2105427.0;Itinga do Maranhão;MA;Ativa
22634;FACULDADE FASIPE DE RONDONÓPOLIS - FFR;FFR;Privada;N;N;N;Faculdade;5107602.0;Rondonópolis;MT;Ativa
15468;Faculdade Presidente Antônio Carlos de Leopoldina;;Privada;N;N;N;Faculdade;3138401.0;Leopoldina;MG;Ativa
27103;UNIVERSIDADE DO DISTRITO FEDERAL - UnDF;UnDF;Pública;N;N;N;Universidade;5300108.0;Brasília;DF;Ativa
